2022-05-2907:32:34.030,32.10537300,118.86302683,37.50,58.78
2022-05-2907:32:34.030,32.10537300,118.86302683,37.20,58.78
2022-05-2907:32:34.050,32.10536783,118.86299217,37.20,59.41
2022-05-2907:32:34.070,32.10536383,118.86295733,37.20,59.73
2022-05-2907:32:34.070,32.10536383,118.86295733,36.80,59.73
2022-05-2907:32:34.090,32.10536050,118.86292217,36.80,60.34
2022-05-2907:32:34.090,32.10536050,118.86292217,36.60,60.34
2022-05-2907:32:35.010,32.10535717,118.86288650,36.60,60.80
2022-05-2907:32:35.010,32.10535717,118.86288650,36.50,60.80
2022-05-2907:32:35.030,32.10535550,118.86285050,36.50,60.45
2022-05-2907:32:35.030,32.10535550,118.86285050,36.40,60.45
2022-05-2907:32:35.050,32.10535583,118.86281533,36.40,59.06
2022-05-2907:32:35.070,32.10535850,118.86278083,36.40,58.52
2022-05-2907:32:36.010,32.10537650,118.86271617,36.40,57.19
2022-05-2907:32:36.050,32.10540683,118.86266017,36.40,55.84
2022-05-2907:32:36.090,32.10544600,118.86261917,36.40,51.45
2022-05-2907:32:37.030,32.10549300,118.86259733,36.40,50.24
2022-05-2907:32:37.030,32.10549300,118.86259733,34.90,50.24
2022-05-2907:32:37.050,32.10551783,118.86259450,34.90,49.39
2022-05-2907:32:37.050,32.10551783,118.86259450,34.90,49.39
2022-05-2907:32:37.070,32.10554350,118.86259567,34.90,50.84
2022-05-2907:32:37.070,32.10554350,118.86259567,34.90,50.84
2022-05-2907:32:37.090,32.10556917,118.86259917,34.90,50.97
2022-05-2907:32:37.090,32.10556917,118.86259917,34.70,50.97
2022-05-2907:32:38.010,32.10559417,118.86260567,34.70,51.74
2022-05-2907:32:38.010,32.10559417,118.86260567,34.70,51.74
2022-05-2907:32:38.030,32.10561850,118.86261633,34.70,52.17
2022-05-2907:32:38.030,32.10561850,118.86261633,34.60,52.17
2022-05-2907:32:38.050,32.10564100,118.86263050,34.60,51.82
2022-05-2907:32:38.050,32.10564100,118.86263050,34.70,51.82
2022-05-2907:32:38.070,32.10566267,118.86264800,34.70,53.15
2022-05-2907:32:38.070,32.10566267,118.86264800,34.90,53.15
2022-05-2907:32:38.090,32.10568183,118.86266950,34.90,53.06
2022-05-2907:32:38.090,32.10568183,118.86266950,35.00,53.06
2022-05-2907:32:39.010,32.10569917,118.86269350,35.00,53.45
2022-05-2907:32:39.010,32.10569917,118.86269350,34.90,53.45
2022-05-2907:32:39.030,32.10571350,118.86272000,34.90,53.76
2022-05-2907:32:39.030,32.10571350,118.86272000,35.00,53.76
2022-05-2907:32:39.050,32.10572633,118.86274800,35.00,53.87
2022-05-2907:32:39.050,32.10572633,118.86274800,34.90,53.87
2022-05-2907:32:39.070,32.10573683,118.86277767,34.90,54.15
2022-05-2907:32:39.070,32.10573683,118.86277767,34.70,54.15
2022-05-2907:32:39.090,32.10574517,118.86280750,34.70,53.86
2022-05-2907:32:39.090,32.10574517,118.86280750,34.80,53.86
2022-05-2907:32:40.010,32.10575217,118.86283783,34.80,54.04
2022-05-2907:32:40.010,32.10575217,118.86283783,35.10,54.04
2022-05-2907:32:40.030,32.10575883,118.86286833,35.10,54.06
2022-05-2907:32:40.030,32.10575883,118.86286833,35.40,54.06
2022-05-2907:32:40.050,32.10576433,118.86289950,35.40,54.19
2022-05-2907:32:40.050,32.10576433,118.86289950,35.40,54.19
2022-05-2907:32:40.070,32.10576750,118.86293067,35.40,52.50
2022-05-2907:32:40.070,32.10576750,118.86293067,34.80,52.50
2022-05-2907:32:40.090,32.10576600,118.86296050,34.80,51.19
2022-05-2907:32:40.090,32.10576600,118.86296050,35.00,51.19
2022-05-2907:32:41.010,32.10576100,118.86298883,35.00,49.04
2022-05-2907:32:41.010,32.10576100,118.86298883,35.10,49.04
2022-05-2907:32:41.050,32.10574000,118.86303550,35.10,42.82
2022-05-2907:32:41.050,32.10574000,118.86303550,35.50,42.82
2022-05-2907:32:41.070,32.10572567,118.86305233,35.50,39.82
2022-05-2907:32:41.070,32.10572567,118.86305233,35.70,39.82
2022-05-2907:32:41.090,32.10570917,118.86306417,35.70,38.04
2022-05-2907:32:41.090,32.10570917,118.86306417,35.60,38.04
2022-05-2907:32:42.010,32.10569067,118.86307050,35.60,37.58
2022-05-2907:32:42.010,32.10569067,118.86307050,35.50,37.58
2022-05-2907:32:42.030,32.10567183,118.86307150,35.50,37.58
2022-05-2907:32:42.030,32.10567183,118.86307150,35.40,37.58
2022-05-2907:32:42.050,32.10565367,118.86306783,35.40,36.97
2022-05-2907:32:42.050,32.10565367,118.86306783,35.60,36.97
2022-05-2907:32:42.070,32.10563767,118.86306000,35.60,34.67
2022-05-2907:32:42.090,32.10562333,118.86304800,35.60,35.00
2022-05-2907:32:42.090,32.10562333,118.86304800,35.80,35.00
2022-05-2907:32:43.010,32.10561133,118.86303117,35.80,37.00
2022-05-2907:32:43.010,32.10561133,118.86303117,35.70,37.00
2022-05-2907:32:43.030,32.10560267,118.86301200,35.70,36.15
2022-05-2907:32:43.030,32.10560267,118.86301200,35.70,36.15
2022-05-2907:32:43.050,32.10559733,118.86299150,35.70,36.23
2022-05-2907:32:43.050,32.10559733,118.86299150,35.80,36.23
2022-05-2907:32:43.070,32.10559450,118.86296950,35.80,37.71
